target	frequency
regex=[Bb][Oo][Nn][Hh][Ee][Uu][RrSs]?	1212
bonheur	1134
Bonheur	72
BONHEUR	5
bOnHeUR	1

token	corpus size	all contexts size	frequency	co-frequency	specificity
D'ailleurs	24995	15566	2	2	0.41
capacité	24995	15566	2	2	0.41
liée	24995	15566	2	2	0.41
connaissance	24995	15566	2	2	0.41
��homme	24995	15566	2	2	0.41
association	24995	15566	2	2	0.41
su	24995	15566	2	2	0.41
��époque	24995	15566	2	2	0.41
déterminisme	24995	15566	2	2	0.41
��avec	24995	15566	2	2	0.41
independante	24995	15566	2	2	0.41
masse	24995	15566	2	2	0.41
reposerai	24995	15566	2	2	0.41
malheure	24995	15566	2	2	0.41
Joie	24995	15566	2	2	0.41
réduirai	24995	15566	2	2	0.41
augmenterai	24995	15566	2	2	0.41
plupart	24995	15566	2	2	0.41
d'entre	24995	15566	2	2	0.41
appelle	24995	15566	2	2	0.41
critiquer	24995	15566	2	2	0.41
Ma	24995	15566	2	2	0.41
difficulté	24995	15566	2	2	0.41
décide	24995	15566	2	2	0.41
d'affirmer	24995	15566	2	2	0.41
complexe	24995	15566	2	2	0.41
chouette	24995	15566	2	2	0.41
réducteur	24995	15566	2	2	0.41
d'assimiler	24995	15566	2	2	0.41
excessivement	24995	15566	2	2	0.41
nettement	24995	15566	2	2	0.41
fichue	24995	15566	2	2	0.41
voisin	24995	15566	2	2	0.41
fut	24995	15566	2	2	0.41
gauche	24995	15566	2	2	0.41
droite	24995	15566	2	2	0.41
ben	24995	15566	2	2	0.41
Suisse	24995	15566	2	2	0.41
Jack	24995	15566	2	2	0.41
Bon	24995	15566	2	2	0.41
rends	24995	15566	2	2	0.41
maillot	24995	15566	2	2	0.41
bain	24995	15566	2	2	0.41
clash	24995	15566	2	2	0.41
photos	24995	15566	2	2	0.41
poète	24995	15566	2	2	0.41
repirer	24995	15566	2	2	0.41
respire	24995	15566	2	2	0.41
centaine	24995	15566	2	2	0.41
millier	24995	15566	2	2	0.41
voila	24995	15566	2	2	0.41
ensorcelle	24995	15566	2	2	0.41
compliquer	24995	15566	2	2	0.41
espoir	24995	15566	2	2	0.41
Paradis	24995	15566	2	2	0.41
existé	24995	15566	2	2	0.41
Garçon	24995	15566	2	2	0.41
l'existance	24995	15566	2	2	0.41
surcroit	24995	15566	2	2	0.41
Ana�	24995	15566	2	2	0.41
essaie	24995	15566	2	2	0.41
s'octroyer	24995	15566	2	2	0.41
s'interroger	24995	15566	2	2	0.41
AccueilCinémaTous	24995	15566	2	2	0.41
Avis	24995	15566	2	2	0.41
spectateurs	24995	15566	2	2	0.41
d'AlloCiné	24995	15566	2	2	0.41
Rédiger	24995	15566	2	2	0.41
critique	24995	15566	2	2	0.41
